time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss
2048,781,2,1,4.75,-0.28918259,,,,,,,,,,
4096,636,6,2,4.86,-0.06021032000000001,0.01744217,10,0.2,-0.005557894706726074,-0.028543973006890155,0.2851068377494812,0.4869802901521325,0.29326171875,0.0003,-4.011203138530254
6144,596,10,3,4.71,-0.26241432000000003,0.018411791,20,0.2,-0.003441929817199707,-0.02688426738095586,0.21552330255508423,0.4939365394879133,0.310693359375,0.0003,-3.9884232722222803
8192,579,14,4,4.86,0.14057937000000004,0.019231569,30,0.2,-0.006837010383605957,-0.02727790023491252,0.26342853903770447,0.6222218871116638,0.2923828125,0.0003,-3.9794214963912964
10240,569,17,5,4.81,0.040889610000000014,0.018522387,40,0.2,0.0008832216262817383,-0.026717940405069383,0.298225998878479,0.638253065943718,0.3,0.0003,-3.9607569918036463
12288,563,21,6,4.75,-0.12421669999999999,0.018260233,50,0.2,-0.0017626285552978516,-0.02753326346864924,0.3122033476829529,0.5745356612373144,0.3181640625,0.0003,-3.9451185159385203
14336,559,25,7,4.73,0.07299758999999999,0.019420654,60,0.2,0.0003330707550048828,-0.03298826934915269,0.31928643584251404,0.5730821310542524,0.371728515625,0.0003,-3.8971704632043838
16384,556,29,8,4.73,0.09543724,0.020266905,70,0.2,0.0015935301780700684,-0.0314585266794893,0.2877669036388397,0.6147848278749735,0.383349609375,0.0003,-3.8677095897495746
18432,553,33,9,4.61,0.0194325,0.015527521,80,0.2,0.010741829872131348,-0.02089985413913382,0.3296167850494385,0.7261022094637155,0.229052734375,0.0003,-3.812405867129564
20480,551,37,10,4.68,0.10839920000000003,0.017394088,90,0.2,0.026645660400390625,-0.02556331186060561,0.3886139690876007,0.7225494974292814,0.288134765625,0.0003,-3.777207101881504
22528,547,41,11,4.63,0.13902855999999997,0.017161796,100,0.2,0.04253512620925903,-0.02860643295425689,0.4004620611667633,0.8943958694115282,0.2453125,0.0003,-3.749691553413868
24576,546,44,12,4.83,0.34402455,0.017174337,110,0.2,0.026533186435699463,-0.03120715604891302,0.3099184036254883,0.7743895700201392,0.246630859375,0.0003,-3.7142614245414736
26624,545,48,13,4.89,0.618827,0.016455032,120,0.2,0.08648747205734253,-0.02930793149789679,0.3228312134742737,0.7171047974377871,0.222314453125,0.0003,-3.6583099000155928
28672,545,52,14,4.86,0.72552933,0.019518916,130,0.2,0.11103582382202148,-0.03578236231696792,0.2109164297580719,0.6161254530772566,0.30703125,0.0003,-3.617303004860878
30720,543,56,15,4.9,0.86317616,0.02690774,140,0.2,0.13696348667144775,-0.03349883128248621,0.15441834926605225,0.5779639033600688,0.325927734375,0.0003,-3.5208318695425986
32768,543,60,16,4.89,1.0127198000000002,0.025829773,150,0.2,0.15084075927734375,-0.036124104174086825,0.3208230137825012,0.681670031696558,0.32265625,0.0003,-3.36572590097785
34816,542,64,17,4.8,1.02396424,0.01956718,160,0.2,0.26392990350723267,-0.029714275151491165,0.2514588236808777,0.5456283770501613,0.265087890625,0.0003,-3.260612078756094
36864,541,68,18,4.94,1.27151266,0.020291414,170,0.2,0.2450379729270935,-0.03563831389183179,0.22838005423545837,0.5867426793091,0.32216796875,0.0003,-3.1414887621998786
38912,541,71,19,4.81,1.1403451900000001,0.02788901,180,0.2,0.3348011374473572,-0.014040422647667583,0.1752479374408722,0.4692799494136125,0.334716796875,0.0003,-3.114021563529968
40960,541,75,20,4.9,1.3201404700000003,0.019048218,190,0.2,0.3889230489730835,-0.029632293996110094,0.097687266767025,0.3847031045006588,0.346533203125,0.0003,-2.9282539620995522
43008,539,79,21,4.92,1.2704277600000002,0.018751932,200,0.2,0.45324403047561646,-0.022537256439682095,0.1522197127342224,0.3584308729041368,0.26279296875,0.0003,-2.8459331288933756
45056,538,83,22,4.89,1.3880301499999999,0.019638771,210,0.2,0.4659000039100647,-0.018732342631847133,0.05542987585067749,0.3627332751057111,0.269921875,0.0003,-2.793179463595152
47104,537,87,23,4.96,1.4942380800000001,0.022564039,220,0.2,0.4834955930709839,-0.02114445519691799,0.05033045634627342,0.33364478293806316,0.305517578125,0.0003,-2.7791040159761904
49152,534,91,24,4.91,1.3684253800000001,0.017298851,230,0.2,0.5664514303207397,-0.016738942278607283,0.08723343908786774,0.2752035668643657,0.25908203125,0.0003,-2.7285664945840837
51200,534,95,25,4.97,1.5048182300000001,0.022805497,240,0.2,0.5231093168258667,-0.018075130649958738,0.12313278019428253,0.32256040506763384,0.273779296875,0.0003,-2.7175104431807995
